host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;mes;ano
within an hour;100%;t;2.0;-2.296.592;-4.317.896;Condominium;Entire home/apt;5;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Hot tub"",""Family/kid friendly"",""Suitable for events"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed""}";$329.00;$0.00;$374.00;2;$62.00;4;30;238;93.0;9.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;4;2018
within a few hours;100%;f;3.0;-2.297.712;-4.319.045;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$158.00;$1,000.00;$250.00;2;$45.00;7;60;233;94.0;9.0;10.0;9.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
within an hour;100%;t;1.0;-2.298.302;-4.321.427;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics""}";$270.00;$0.00;$83.00;2;$42.00;2;1125;264;96.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;4;2018
within a few hours;100%;t;1.0;-2.298.816;-4.319.359;Apartment;Entire home/apt;3;1.5;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout""}";$374.00;$1,040.00;$171.00;2;$62.00;2;89;162;95.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;4;2018
within an hour;100%;t;1.0;-2.298.127;-4.319.046;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Bathtub with bath chair"",""Accessible-height toilet"",""Wide entryway"",""Host greets you"",Beachfront}";$129.00;$400.00;$140.00;2;$80.00;3;28;309;98.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;4;2018
;;f;1.0;-2.296.681;-4.318.657;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{Wifi,Kitchen,""Free parking on premises"",Elevator,Washer,Essentials,Hangers,Iron,""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",Oven,Stove,""Patio or balcony""}";$150.00;;$150.00;1;$150.00;2;30;1;;;;;;;;f;f;moderate;4;2018
within an hour;100%;t;7.0;-2.298.633;-4.320.256;Serviced apartment;Hotel room;13;7.0;6.0;6.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Coffee maker"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Full kitchen"",""Paid parking on premises""}";$3,523.00;$3,202.00;$366.00;7;$91.00;2;89;60;92.0;9.0;9.0;9.0;9.0;10.0;9.0;t;f;strict_14_with_grace_period;4;2018
within an hour;100%;t;2.0;-2.298.359;-4.319.382;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Breakfast,Elevator,""Free street parking"",Heating,Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Wide entryway""}";$79.00;$0.00;$0.00;1;$0.00;3;30;42;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;4;2018
within an hour;100%;f;6.0;-2.296.467;-4.317.442;Apartment;Entire home/apt;10;3.5;4.0;4.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Hot water"",""Bed linens"",""Long term stays allowed"",""Host greets you"",Beachfront}";$345.00;$600.00;$250.00;8;$60.00;5;750;3;80.0;9.0;8.0;9.0;9.0;9.0;6.0;t;f;strict_14_with_grace_period;4;2018
within an hour;100%;f;48.0;-2.297.934;-4.319.113;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed""}";$187.00;$416.00;$208.00;2;$21.00;3;90;76;93.0;9.0;9.0;10.0;10.0;10.0;9.0;t;f;moderate;4;2018
